2024-04-25 16:01:12,814 - Episode: 171/1000, Total Reward: 2.7999999999999927, Accuracy: 0.00
2024-04-25 16:01:18,107 - Episode: 172/1000, Total Reward: 2.5999999999999934, Accuracy: 0.00
2024-04-25 16:01:23,128 - Episode: 173/1000, Total Reward: 4.29999999999999, Accuracy: 0.00
2024-04-25 16:01:28,502 - Episode: 174/1000, Total Reward: 3.3999999999999915, Accuracy: 0.00
2024-04-25 16:01:33,788 - Episode: 175/1000, Total Reward: 3.199999999999992, Accuracy: 0.00
2024-04-25 16:01:39,124 - Episode: 176/1000, Total Reward: -0.5999999999999988, Accuracy: 0.00
2024-04-25 16:01:44,545 - Episode: 177/1000, Total Reward: -3.6000000000000005, Accuracy: 0.00
2024-04-25 16:01:50,008 - Episode: 178/1000, Total Reward: -4.000000000000001, Accuracy: 0.00
2024-04-25 16:01:55,154 - Episode: 179/1000, Total Reward: -3.0, Accuracy: 0.00
2024-04-25 16:02:00,611 - Episode: 180/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-25 16:02:05,953 - Episode: 181/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-25 16:02:11,452 - Episode: 182/1000, Total Reward: -4.000000000000001, Accuracy: 0.00
2024-04-25 16:02:17,016 - Episode: 183/1000, Total Reward: -4.200000000000001, Accuracy: 0.00
2024-04-25 16:02:22,052 - Episode: 184/1000, Total Reward: -3.0, Accuracy: 0.00
2024-04-25 16:02:27,360 - Episode: 185/1000, Total Reward: -1.8999999999999995, Accuracy: 0.00
2024-04-25 16:02:32,986 - Episode: 186/1000, Total Reward: -2.0999999999999996, Accuracy: 0.00
2024-04-25 16:02:38,452 - Episode: 187/1000, Total Reward: -3.0, Accuracy: 0.00
2024-04-25 16:02:43,855 - Episode: 188/1000, Total Reward: -3.8000000000000007, Accuracy: 0.00
2024-04-25 16:02:49,143 - Episode: 189/1000, Total Reward: -2.3, Accuracy: 0.00
2024-04-25 16:02:54,548 - Episode: 190/1000, Total Reward: -2.5, Accuracy: 0.00
2024-04-25 16:02:59,909 - Episode: 191/1000, Total Reward: -0.39999999999999947, Accuracy: 0.00
2024-04-25 16:03:05,231 - Episode: 192/1000, Total Reward: -0.799999999999998, Accuracy: 0.00
2024-04-25 16:03:10,437 - Episode: 193/1000, Total Reward: -0.20000000000000018, Accuracy: 0.00
2024-04-25 16:03:15,816 - Episode: 194/1000, Total Reward: 1.099999999999997, Accuracy: 0.00
2024-04-25 16:03:21,191 - Episode: 195/1000, Total Reward: 2.5999999999999934, Accuracy: 0.00
2024-04-25 16:03:26,640 - Episode: 196/1000, Total Reward: 3.3999999999999915, Accuracy: 0.00
2024-04-25 16:03:31,955 - Episode: 197/1000, Total Reward: 3.199999999999992, Accuracy: 0.00
2024-04-25 16:03:37,313 - Episode: 198/1000, Total Reward: 4.099999999999991, Accuracy: 0.00
2024-04-25 16:03:42,776 - Episode: 199/1000, Total Reward: 0.3999999999999977, Accuracy: 0.00
2024-04-25 16:03:48,380 - Episode: 200/1000, Total Reward: 0.1999999999999984, Accuracy: 0.00
2024-04-25 16:03:54,276 - Episode: 201/1000, Total Reward: -0.39999999999999947, Accuracy: 0.00
2024-04-25 16:03:59,793 - Episode: 202/1000, Total Reward: -2.8, Accuracy: 0.00
2024-04-25 16:04:05,376 - Episode: 203/1000, Total Reward: -1.6999999999999993, Accuracy: 0.00
2024-04-25 16:04:10,872 - Episode: 204/1000, Total Reward: -2.5999999999999996, Accuracy: 0.00
2024-04-25 16:04:16,264 - Episode: 205/1000, Total Reward: -4.3, Accuracy: 0.00
2024-04-25 16:04:21,754 - Episode: 206/1000, Total Reward: -5.7, Accuracy: 0.00
2024-04-25 16:04:27,133 - Episode: 207/1000, Total Reward: -6.3, Accuracy: 0.00
2024-04-25 16:04:32,479 - Episode: 208/1000, Total Reward: -6.3, Accuracy: 0.00
2024-04-25 16:04:38,189 - Episode: 209/1000, Total Reward: -6.1, Accuracy: 0.00
